congress,chamber,rollnumber,icpsr,cast_code,prob
82,Senate,3,9374,6,97.9
82,Senate,3,9401,6,99.6
82,Senate,3,9604,7,94.6
82,Senate,3,9865,1,8.3
82,Senate,3,9930,7,72.8
82,Senate,3,9998,6,73.0
82,Senate,3,10110,6,97.6
82,Senate,3,10163,6,79.0
82,Senate,3,10450,6,89.0
82,Senate,3,96738,6,100.0
82,Senate,4,52,1,80.4
82,Senate,4,165,1,79.7
82,Senate,4,645,1,41.9
82,Senate,4,659,7,0.3
82,Senate,4,1021,1,58.0
82,Senate,4,1024,6,65.2
82,Senate,4,1027,1,52.8
82,Senate,4,1338,6,79.1
82,Senate,4,1341,6,58.6
82,Senate,4,1365,6,86.7
82,Senate,4,1395,1,32.6
82,Senate,4,1489,6,58.3
82,Senate,4,1510,6,45.4
82,Senate,4,1570,6,61.8
82,Senate,4,1659,6,74.3
82,Senate,4,1678,7,31.1
82,Senate,4,1831,1,69.9
82,Senate,4,1986,6,48.5
82,Senate,4,2066,1,36.8
82,Senate,4,2609,5,41.7
82,Senate,4,2691,1,99.8
82,Senate,4,2745,6,16.3
82,Senate,4,2803,1,26.7
82,Senate,4,2822,6,94.4
82,Senate,4,2838,6,87.7
82,Senate,4,2901,5,89.6
82,Senate,4,3110,1,70.8
82,Senate,4,3206,1,79.5
82,Senate,4,3349,6,71.1
82,Senate,4,3388,3,50.1
82,Senate,4,3536,6,49.8
82,Senate,4,3603,7,47.4
82,Senate,4,3783,1,96.2
82,Senate,4,4227,6,25.1
82,Senate,4,4321,1,76.8
82,Senate,4,4328,1,96.8
82,Senate,4,4382,1,46.0
82,Senate,4,4418,1,38.5
82,Senate,4,4483,6,72.5
82,Senate,4,4520,6,76.8
82,Senate,4,4728,1,98.0
82,Senate,4,4747,1,73.7
82,Senate,4,4834,1,90.5
82,Senate,4,4922,7,25.0
82,Senate,4,4949,6,72.8
82,Senate,4,4979,6,36.6
82,Senate,4,5009,6,83.5
82,Senate,4,5122,2,91.9
82,Senate,4,5158,1,28.2
82,Senate,4,5213,6,59.1
82,Senate,4,5240,1,98.1
82,Senate,4,5343,6,35.1
82,Senate,4,5452,1,33.0
82,Senate,4,5591,1,99.8
82,Senate,4,5739,1,88.4
82,Senate,4,5767,1,25.1
82,Senate,4,5913,1,91.6
82,Senate,4,5944,6,85.3
82,Senate,4,6021,6,51.2
82,Senate,4,6107,6,82.4
82,Senate,4,6132,6,84.2
82,Senate,4,6137,6,64.4
82,Senate,4,6151,6,93.3
82,Senate,4,6242,6,50.8
82,Senate,4,6293,7,25.2
82,Senate,4,6346,7,1.3
82,Senate,4,6525,6,58.1
82,Senate,4,6597,1,78.5
82,Senate,4,6796,1,38.1
82,Senate,4,6820,1,92.7
82,Senate,4,6856,1,88.6
82,Senate,4,6939,7,68.8
82,Senate,4,7020,1,73.3
82,Senate,4,7070,1,81.9
82,Senate,4,7229,1,94.9
82,Senate,4,7958,6,89.2
82,Senate,4,8138,6,93.8
82,Senate,4,8185,1,73.0
82,Senate,4,8270,1,29.9
82,Senate,4,8593,1,32.4
82,Senate,4,8635,6,17.9
82,Senate,4,8666,6,25.2
82,Senate,4,8708,6,94.6
82,Senate,4,8764,7,65.8
82,Senate,4,8883,6,91.4
82,Senate,4,9152,6,38.9
82,Senate,4,9374,1,70.5
82,Senate,4,9401,1,86.5
82,Senate,4,9604,7,53.3
82,Senate,4,9865,1,46.2
82,Senate,4,9930,7,14.0
82,Senate,4,9998,6,82.5
82,Senate,4,10110,1,68.6
82,Senate,4,10163,6,60.7
82,Senate,4,10450,2,34.6
82,Senate,4,96738,1,97.2
82,Senate,5,52,1,77.4
82,Senate,5,165,1,79.7
82,Senate,5,645,6,64.1
82,Senate,5,659,7,0.3
82,Senate,5,1021,1,52.4
82,Senate,5,1024,6,71.0
82,Senate,5,1027,1,47.0
82,Senate,5,1338,6,83.9
82,Senate,5,1341,6,64.7
82,Senate,5,1365,6,89.4
82,Senate,5,1395,1,26.9
82,Senate,5,1489,6,64.4
82,Senate,5,1510,6,51.0
82,Senate,5,1570,6,67.3
82,Senate,5,1659,6,74.1
82,Senate,5,1678,7,30.5
82,Senate,5,1831,1,71.0
82,Senate,5,1986,6,47.3
82,Senate,5,2066,1,31.5
82,Senate,5,2609,5,47.3
82,Senate,5,2691,1,99.8
82,Senate,5,2745,6,19.1
82,Senate,5,2803,1,21.3
82,Senate,5,2822,6,94.9
82,Senate,5,2838,6,91.1
82,Senate,5,2901,5,89.4
82,Senate,5,3110,1,66.6
82,Senate,5,3206,1,76.0
82,Senate,5,3349,6,73.7
82,Senate,5,3388,1,55.7
82,Senate,5,3536,6,51.5
82,Senate,5,3603,7,49.0
82,Senate,5,3783,1,96.5
82,Senate,5,4227,6,24.5
82,Senate,5,4321,1,73.1
