congress,chamber,rollnumber,icpsr,cast_code,prob
82,House,2,4201,1,100.0
82,House,2,4244,1,62.6
82,House,2,4247,1,91.0
82,House,2,4275,6,92.1
82,House,2,4278,1,93.5
82,House,2,4279,1,100.0
82,House,2,4290,1,100.0
82,House,2,4354,6,95.9
82,House,2,4371,6,44.6
82,House,2,4372,1,83.6
82,House,2,4373,6,90.8
82,House,2,4429,6,94.2
82,House,2,4437,6,80.5
82,House,2,4450,6,70.1
82,House,2,4482,6,98.1
82,House,2,4487,6,99.9
82,House,2,4493,6,96.0
82,House,2,4514,1,99.6
82,House,2,4537,1,58.5
82,House,2,4562,6,96.8
82,House,2,4644,1,99.8
82,House,2,4720,1,76.7
82,House,2,4751,6,91.5
82,House,2,4822,1,99.7
82,House,2,4846,6,92.5
82,House,2,4851,1,97.2
82,House,2,4880,6,85.5
82,House,2,4891,1,8.8
82,House,2,4898,1,98.9
82,House,2,4911,6,98.5
82,House,2,4917,6,97.5
82,House,2,4928,6,99.8
82,House,2,4976,1,35.7
82,House,2,5020,6,90.6
82,House,2,5035,6,89.5
82,House,2,5056,6,86.6
82,House,2,5058,6,29.1
82,House,2,5071,6,99.7
82,House,2,5083,6,46.2
82,House,2,5097,1,99.9
82,House,2,5109,1,63.0
82,House,2,5110,1,34.2
82,House,2,5112,6,72.8
82,House,2,5116,1,78.4
82,House,2,5117,1,99.6
82,House,2,5136,1,99.9
82,House,2,5148,1,99.3
82,House,2,5180,1,99.5
82,House,2,5199,1,99.8
82,House,2,5208,7,41.6
82,House,2,5217,6,51.4
82,House,2,5235,6,99.0
82,House,2,5236,6,80.9
82,House,2,5255,1,99.7
82,House,2,5301,1,99.3
82,House,2,5317,1,100.0
82,House,2,5326,1,98.3
82,House,2,5447,1,98.6
82,House,2,5459,1,69.4
82,House,2,5471,6,62.3
82,House,2,5476,6,88.8
82,House,2,5488,6,70.8
82,House,2,5552,6,95.4
82,House,2,5617,1,98.9
82,House,2,5671,1,95.5
82,House,2,5803,6,98.3
82,House,2,5826,6,99.3
82,House,2,5847,6,77.4
82,House,2,5880,1,99.9
82,House,2,5884,1,96.8
82,House,2,5885,6,87.2
82,House,2,5900,1,99.7
82,House,2,5905,1,93.7
82,House,2,5924,6,79.5
82,House,2,5998,1,78.4
82,House,2,6033,6,61.9
82,House,2,6039,6,94.9
82,House,2,6061,6,99.9
82,House,2,6134,1,99.8
82,House,2,6169,6,81.0
82,House,2,6177,1,99.0
82,House,2,6204,6,92.1
82,House,2,6220,6,82.8
82,House,2,6259,1,99.9
82,House,2,6262,1,3.2
82,House,2,6267,1,99.8
82,House,2,6317,1,97.8
82,House,2,6353,6,97.3
82,House,2,6361,6,78.2
82,House,2,6389,6,99.1
82,House,2,6399,6,89.1
82,House,2,6437,1,51.7
82,House,2,6474,6,99.4
82,House,2,6481,6,93.5
82,House,2,6483,1,99.3
82,House,2,6516,6,82.6
82,House,2,6532,6,64.4
82,House,2,6561,1,100.0
82,House,2,6664,6,16.2
82,House,2,6685,1,98.7
82,House,2,6718,1,74.9
82,House,2,6721,6,37.3
82,House,2,6745,6,72.6
82,House,2,6765,1,78.8
82,House,2,6792,1,100.0
82,House,2,6795,6,89.4
82,House,2,6799,1,94.2
82,House,2,6809,1,99.7
82,House,2,6823,1,12.1
